text,term.freq
canada,0
iking,1
firmly,10
convinced,9
wisdom,4
excellence,8
policy,103
pureued,1
leaders,15
liberal-conservative,1
party,89
managing,9
affaire,1
country,380
believing,5
measures,19
introduced,17
mainly,10
due,79
cause,48
prosperous,13
condition,54
to-day,63
columns,8
journal,63
devoted,16
interests,51
canada:canada,307
cnmcron,1
founder,6
senior,13
ineiiilier,1
shipping,21
film,19
south,89
knighted,1
recognition,9
services,49
vatrblishing,1
developing,10
commercial,91
relations,24
north,116
american,129
continent,36
australian,17
colonies,36
news,58
received,96
city,135
cuugratulary,1
despatch,10
uue,1
governor-general,29
addressed,11
sir,144
york,120
imm,3
scotch,20
parentage,1
glengarry,2
province,184
o'ntario,302
fifty-seven,8
year's,540
ago,178
came,133
l*ie,95
twenty-five,9
veins,1
engaged,31
business,275
present,225
firm,55
formed,21
arrival,19
sent,173
ship,34
sailed,14
tinted,6
state's,618
australia,69
pioneer,15
plied,5
countries,136
sold,87
vessel's,13
regular,47
communication,16
kept,37
commissioner,35
wales,15
centennial,1
exhibition,130
philadelphia,4
honorary,5
internat,1
iunrl,1
able,103
attendit,1
appointed,36
special,126
held,132
melbourne,2
return,76
complete,71
report,91
conditions,116
resources,68
industrious,2
labors,2
large,220
"part,his",1
honor,31
knighthood,1
maintained,16
allegiance,7
british,350
crown,42
spent,49
iife,1
won,49
success,61
sought,20
citizen,31
onit,1
domiso,1
county,80
ottawa,599
lias,31
lost,46
enterprising,5
valued,26
residents,17
loss,61
easily,36
forgotten,8
friend's,68
lead,47
socially,2
endeared,2
munity,4
bum,2
england,104
father,42
jas,12
member,61
staff,53
settled,29
buckingham,4
forty-five,3
lumbering,8
messrs,21
bigelow,1
suspended,2
assumed,6
account,50
successfully,20
conducted,31
enterprises,6
number,200
selected,17
xisition,1
sucre,1
tery-treasuror,1
municipalities,11
village,37
sownship,1
post,60
honorably,2
retained,8
period,107
yuan,2
iron,37
truly,14
representative,31
canadian,807
lifted,1
strong,73
natural,50
ability,26
altho,1
early,110
advantages,16
education,34
shrewd,3
liusi-sineas,1
read,50
valley,33
energetic,5
far-seeing,1
friend,36
generous,11
steadfast,1
funeral,12
took,85
place,204
friday,33
father's,6
clerk,7
clmrlxiuueau,1
officiating,2
cortege,2
followed,40
remains,25
grave,10
largest,203
seen,63
tliat,3
vicinity,14
many'years,1
death,59
lemre,1
commu'iity,1
essily,1
fif,1
haley's,7
trains,15
going,89
east,63
lilted,2
mates,4
are,1
willing,15
reciptx,1
thv,15
novciulx.r,1
reversing,1
hvautiful,1
outer,4
world,296
vatv,1
montreal,301
favor,36
majority,40
judges,9
decision,18
supposed,10
nonli,1
abolition,1
duty,77
gran,1
tit,9
event,31
court,51
appeal,26
thitario,1
a.ul,1
vice,14
really,43
waa-eximeteil,1
gram,6
"s,rt",1
trade,324
haneellor,1
ivmdfool,1
chancer,1
bring,59
husband,23
handsome,9
iteru,1
ost,2
hat,43
marriage,11
timli,1
ration,17
political,49
tone,18
strung,1
vontiast,1
eon,6
temporaries,1
hi*l,2
nimdvr,1
following,90
kiee,1
vitei,1
win,43
name,139
watson,2
tihim,1
"eon,petition",1
mex,1
"ll,u",1
"ivhtluv,h",1
"hie,r",1
vaiiiug,1
tceling,1
regard,38
given,173
rise,14
sueh,1
aspirations,2
vmon,1
ass,5
wheat,171
take,190
enlightened,2
opposition,38
fertile,8
lies,17
y-rth-w,1
est,31
ithough,1
ujte,1
price,142
grey,5
cotton,24
empire,125
huyc,1
hu;t,33
prayed,2
