"","words","term.freq","doc.freq"
"1","canada",0,0
"2","iking",1,1
"3","firmly",10,1
"4","convinced",9,1
"5","wisdom",4,1
"6","excellence",8,1
"7","policy",103,1
"8","pureued",1,1
"9","leaders",15,1
"10","liberal-conservative",1,1
"11","party",89,1
"12","managing",9,1
"13","affaire",1,1
"14","country",380,1
"15","believing",5,1
"16","measures",19,1
"17","introduced",17,1
"18","mainly",10,1
"19","due",79,1
"20","cause",48,1
"21","prosperous",13,1
"22","condition",54,1
"23","to-day",63,1
"24","columns",8,1
"25","journal",63,1
"26","devoted",16,1
"27","interests",51,1
"28","canada:canada",307,1
"29","cnmcron",1,1
"30","founder",6,1
"31","senior",13,1
"32","ineiiilier",1,1
"33","shipping",21,1
"34","film",19,1
"35","south",89,1
"36","knighted",1,1
"37","recognition",9,1
"38","services",49,1
"39","vatrblishing",1,1
"40","developing",10,1
"41","commercial",91,1
"42","relations",24,1
"43","north",116,1
"44","american",129,1
"45","continent",36,1
"46","australian",17,1
"47","colonies",36,1
"48","news",58,1
"49","received",96,1
"50","city",135,1
"51","cuugratulary",1,1
"52","despatch",10,1
"53","uue",1,1
"54","governor-general",29,1
"55","addressed",11,1
"56","sir",144,1
"57","york",120,1
"58","imm",3,1
"59","scotch",20,1
"60","parentage",1,1
"61","glengarry",2,1
"62","province",184,1
"63","ontario",302,1
"64","fifty-seven",8,1
"65","years",540,1
"66","ago",178,1
"67","came",133,1
"68","lie",95,1
"69","twenty-five",9,1
"70","veins",1,1
"71","engaged",31,1
"72","business",275,1
"73","present",225,1
"74","firm",55,1
"75","formed",21,1
"76","arrival",19,1
"77","sent",173,1
"78","ship",34,1
"79","sailed",14,1
"80","tinted",6,1
"81","states",618,1
"82","australia",69,1
"83","pioneer",15,1
"84","plied",5,1
"85","countries",136,1
"86","sold",87,1
"87","vessels",13,1
"88","regular",47,1
"89","communication",16,1
"90","kept",37,1
"91","commissioner",35,1
"92","wales",15,1
"93","centennial",1,1
"94","exhibition",130,1
"95","philadelphia",4,1
"96","honorary",5,1
"97","internat",1,1
"98","iunrl",1,1
"99","able",103,1
"100","attendit",1,1
"101","appointed",36,1
"102","special",126,1
"103","held",132,1
"104","melbourne",2,1
"105","return",76,1
"106","complete",71,1
"107","report",91,1
"108","conditions",116,1
"109","resources",68,1
"110","industrious",2,1
"111","labors",2,1
"112","large",220,1
"113","part,his",1,1
"114","honor",31,1
"115","knighthood",1,1
"116","maintained",16,1
"117","allegiance",7,1
"118","british",350,1
"119","crown",42,1
"120","spent",49,1
"121","iife",1,1
"122","won",49,1
"123","success",61,1
"124","sought",20,1
"125","citizen",31,1
"126","onit",1,1
"127","domiso",1,1
"128","county",80,1
"129","ottawa",599,1
"130","lias",31,1
"131","lost",46,1
"132","enterprising",5,1
"133","valued",26,1
"134","residents",17,1
"135","loss",61,1
"136","easily",36,1
"137","forgotten",8,1
"138","friends",68,1
"139","lead",47,1
"140","socially",2,1
"141","endeared",2,1
"142","munity",4,1
"143","bum",2,1
"144","england",104,1
"145","father",42,1
"146","jas",12,1
"147","member",61,1
"148","staff",53,1
"149","settled",29,1
"150","buckingham",4,1
"151","forty-five",3,1
"152","lumbering",8,1
"153","messrs",21,1
"154","bigelow",1,1
"155","suspended",2,1
"156","assumed",6,1
"157","account",50,1
"158","successfully",20,1
"159","conducted",31,1
"160","enterprises",6,1
"161","number",200,1
"162","selected",17,1
"163","xisition",1,1
"164","sucre",1,1
"165","tery-treasuror",1,1
"166","municipalities",11,1
"167","village",37,1
"168","sownship",1,1
"169","post",60,1
"170","honorably",2,1
"171","retained",8,1
"172","period",107,1
"173","yuan",2,1
"174","iron",37,1
"175","truly",14,1
"176","representative",31,1
"177","canadian",807,1
"178","lifted",1,1
"179","strong",73,1
"180","natural",50,1
"181","ability",26,1
"182","altho",1,1
"183","early",110,1
"184","advantages",16,1
"185","education",34,1
"186","shrewd",3,1
"187","liusi-sineas",1,1
"188","read",50,1
"189","valley",33,1
"190","energetic",5,1
"191","far-seeing",1,1
"192","friend",36,1
"193","generous",11,1
"194","steadfast",1,1
"195","funeral",12,1
"196","took",85,1
"197","place",204,1
"198","friday",33,1
"199","fathers",6,1
"200","clerk",7,1
"201","clmrlxiuueau",1,1
"202","officiating",2,1
"203","cortege",2,1
"204","followed",40,1
"205","remains",25,1
"206","grave",10,1
"207","largest",203,1
"208","seen",63,1
"209","tliat",3,1
"210","vicinity",14,1
"211","many'years",1,1
"212","death",59,1
"213","lemre",1,1
"214","commu'iity",1,1
"215","essily",1,1
"216","fif",1,1
"217","haleys",7,1
"218","trains",15,1
"219","going",89,1
"220","east",63,1
"221","lilted",2,1
"222","mates",4,1
"223","a,e",1,1
"224","willing",15,1
"225","reciptx",1,1
"226","thv",15,1
"227","novciulx.r",1,1
"228","reversing",1,1
"229","hvautiful",1,1
"230","outer",4,1
"231","world",296,1
"232","vatv",1,1
"233","montreal",301,1
"234","favor",36,1
"235","majority",40,1
"236","judges",9,1
"237","decision",18,1
"238","supposed",10,1
"239","nonli",1,1
"240","abolition",1,1
"241","duty",77,1
"242","gran",1,1
"243","tit",9,1
"244","event",31,1
"245","court",51,1
"246","appeal",26,1
"247","thitario",1,1
"248","a.ul",1,1
"249","vice",14,1
"250","really",43,1
"251","waa-eximeteil",1,1
"252","gram",6,1
"253","s,rt",1,1
"254","trade",324,1
"255","haneellor",1,1
"256","ivmdfool",1,1
"257","chancer",1,1
"258","bring",59,1
"259","husband",23,1
"260","handsome",9,1
"261","iteru",1,1
"262","ost",2,1
"263","hat",43,1
"264","marriage",11,1
"265","timli",1,1
"266","ration",17,1
"267","political",49,1
"268","tone",18,1
"269","strung",1,1
"270","vontiast",1,1
"271","eon",6,1
"272","temporaries",1,1
"273","hil",2,1
"274","nimdvr",1,1
"275","following",90,1
"276","kiee",1,1
"277","vitei",1,1
"278","win",43,1
"279","name",139,1
"280","watson",2,1
"281","tihim",1,1
"282","eon,petition",1,1
"283","mex",1,1
"284","ll,u",1,1
"285","ivhtluv,h",1,1
"286","hie,r",1,1
"287","vaiiiug",1,1
"288","tceling",1,1
"289","regard",38,1
"290","given",173,1
"291","rise",14,1
"292","sueh",1,1
"293","aspirations",2,1
"294","vmon",1,1
"295","ass",5,1
"296","wheat",171,1
"297","take",190,1
"298","enlightened",2,1
"299","opposition",38,1
"300","fertile",8,1
"301","lies",17,1
"302","y-rth-w",1,1
"303","est",31,1
"304","ithough",1,1
"305","ujte",1,1
"306","price",142,1
"307","grey",5,1
"308","cotton",24,1
"309","empire",125,1
"310","huyc",1,1
"311","hut",33,1
"312","prayed",2,1
"313","progeny",1,1
"314","dog",14,1
"315","rhonuw",1,1
"316","lelb*is.,n",1,1
"317","realize",19,1
"318","free",229,1
"319","prevails",3,1
"320","unit",28,1
"321","afghanistan",2,1
"322","vim",3,1
"323","ial",3,1
"324","legislature",20,1
"325","argued",2,1
"326","fectionately",1,1
"327","proceeded",12,1
"328","house",145,1
"329","idea",33,1
"330","government",358,1
"331","second",102,1
"332","tstes",1,1
"333","experience",59,1
"334","venges",1,1
"335","tlie",33,1
"336","scuttle.s",1,1
"337","char",2,1
"338","rov",1,1
"339","uud",1,1
"340","void",3,1
"341","lands",50,1
"342","sawyer",1,1
"343","question",90,1
"344","making",103,1
"345","chamber",16,1
"346","electric",22,1
"347","hade",1,1
"348","eastern",162,1
"349","built",63,1
"350","adopt",11,1
"351","jingo",2,1
"352","language",16,1
"353","dominion",476,1
"354","attorney-general",3,1
"355","hushed",1,1
"356","tint",15,1
"357","ectne",1,1
"358","chain",10,1
"359","lier",9,1
"360","whei-e",1,1
"361","talking",7,1
"362","twelve",28,1
"363","lace",1,1
"364","rupees",1,1
"365","pro",92,1
"366","days",135,1
"367","lord",76,1
"368","chancellor",5,1
