text,term.freq
britan,0
merityfn,1
hamilton,1
oni,1
government,3
britannic,4
majesty,3
engages,3
urge,2
dominion,3
canada,1
secure,2
citizens,1
united,4
states,5
use,3
welland,1
canals,2
terms,3
equality,3
inhabitants,2
subjects,2
flats,1
canal,1
state,1
governments,1
connected,1
thenavlkh,1
lion,1
lakes,1
rivers,1
traversed,1
contiguous,1
boundary,1
possessions,1
contracting,1
lnhab,1
britan:united,1
attack,2
elephant,1
armed,1
sports,1
vain,1
preserve,1
child,1
loving,1
heart,2
mourns-she,1
probably,1
deep,1
water,1
britan::the,1
native,1
agriculturist,1
local,1
poet,1
village,1
toe,1
funerai,1
bier,1
homae,1
known,1
sev,1
generations,1
hie,1
jingling,1
bolls,1
passed,1
depopulated,1
wonder,1
sort,1
weop,1
bereaved,1
eral,1
minent,1
work,2
germany,1
public,1
demonstrations,1
london,2
spot,1
tiger,1
lay,1
wait,1
watching,1
world,2
opemt,1
hetrt,1
thorn,1
subject,1
months,1
expected,2
attract,1
large,1
epec-d,1
tent,1
cattle,1
grazing,1
waiting,1
night,1
happened,1
tigers,1
evolved,2
weeps,1
mother,1
weep,1
system,2
tore,1
hand,2
signalling,1
timeto,1
vleit,1
eome,1
thrrsas,1
amor,1
master,1
globe,1
mourns,1
ehe,1
ne'er,1
recall,1
head,1
wire,1
prove,2
satisfactory,1
police,1
eothat,1
code,1
mackay,1
caldwell,1
auckland,1
zealand,2
present,2
montreal,1
expressed,1
opinion,1
business,1
country,1
disappoint-at,1
budget,1
discussing,1
matter,1
today,1
given,1
preference,1
tariff,2
perfectly,1
willing,1
provided,1
placed,1
reciprocal,1
basis,1
understand,1
canadian,1
manufacturers,1
prosper,1
immigrant,1
larded,1
senday,1
scandinavia,1
france:germany,1
nation,1
industrially,1
inferior,1
commerce,1
britain,1
guined,1
power,1
finance,1
answer,1
domestic,1
economy,1
thrift,1
intense,1
application,1
commends,1
bis,1
ambition,1
carve,1
life's,1
labors,1
bright,1
tlie,1
inevitable,1
rnlny,1
day,1
cheer,1
old,1
age,1
frenchman,1
peer,1
save,2
inherited,1
poorest,1
peasant,1
productive,1
parish,1
republic,1
manages,1
aside,1
hmle,1
itch,1
competency,1
fish,1
rnifn,1
britanny,1
starved,1
winters,1
ago,1
catch,1
lÂ»vn,1
able,1
draw,1
fnna,1
britan:england,1
study,1
persons,1
outstanding,1
capability,1
edition,1
encyclopaedia,1
nica,1
publish,1
ton,2
hertfordshire,1
b-it*rh,1
official,1
cientific,1
journal,1
nature,1
origin,1
god,1
tune,2
doubt,1
bull,1
mentioned,1
connection,1
encyclopedia,1
britannica,1
says,1
earliest,2
assignable,1
music,1
earlier,1
forms,1
bull's,1
form,1
ajr,1
prussia,1
denmark,1
countries,1
took,1
england,1
cider,1
sources,1
determined,1
england:france,1
weekly,1
service,1
mammoth,1
aquitania,1
regularly,1
cobh,1
southampton,1
havre,1
mauretania,1
gÃ©orgie,1
frequent,1
sailings,1
galway,1
belfast,1
dublin,1
liverpool,1
liners,1
franconia,1
scythia,1
laconia,1
samaria,1
carinthia,1
rates,1
start,1
cabin,1
tourist,1
third,1
class,1
late,3
send,1
price,1
ret,1
order,2
baby,1
chicks,1
dollar,1
books,1
goddard,1
chick,1
hatchery,1
britan-ni,1
height,1
emphasized,1
friendship,1
health,1
committee,1
motion,1
crs,1
wil,1
beach,2
california,1
sisters,1
smith,1
powles,1
geldner,1
rochester,1
messrs,1
brough,1
cal,1
cowan,1
appointed,1
board,1
mcginnis,1
