text,term.freq
italy:france,0
lienn,1
government,75
revolution,8
bloodshed,2
year's,136
devoted,4
hutsclf,1
literary,3
pursuits,1
writing,8
deal,19
review,4
sand,4
pajs'm,1
engaging,3
in'coiitrevcrsics,1
having,28
assertion,3
distinguished,7
mail,4
olio,1
believes,3
oiir,1
s)lltieal,1
annexation,1
plenty,6
instances,5
state,22
changing,3
allegi.uicc,1
given,35
proved,10
contrary,1
scarcely,6
believe,12
alaska,2
uninhabited,1
country,74
sold,9
russia,38
states,69
instance,10
cyprus,3
transferred,2
jreat,1
britain,122
day,60
nice,6
savoy,3
traus,1
felled,1
arrangement,3
franco,5
audltaly,1
alsace,7
result,21
war,181
lÃ®enunny,1
transvaal,1
annexed,2
rent,4
succeed,6
getting,8
independence,6
question,21
won't,3
interfere,1
prevent,12
interfering,2
canadian,79
unanimous,2
preferring,1
monarchy,2
favor,9
republic,16
"l,ie",42
hut,16
quietly,1
side,27
lines,19
light,14
risk,5
life,46
property,2
firm,4
conviction,5
case,20
history,18
change,11
political,21
institutions,5
effected,6
france:france,33
statistics,10
lately,5
published,10
jvunud,1
official,13
concenung,1
number,39
foreigners,12
interesting,15
census,4
taken,43
population,23
amounted,4
souls,2
compared,10
count,7
shows,15
increase,14
total,22
cent,34
sonie,1
departments,5
tlw,1
proportion,9
huger,1
inhabitant,3
tecs,1
indicate,3
thntcim,1
afghanistan,2
friends,18
wanted,12
ndians,1
arc,18
strongly,1
imbued,1
pro,15
lord,22
llvncoiihiield,1
abandon,1
correspondent,11
egypt,20
twtivv,1
idea,15
elections,3
dear,7
unit,2
subsidy,2
mercantile,1
american,31
vtv'/wbr,1
whui,1
issue,6
pointer,1
uml,2
menace,6
says,42
looked,17
cafe,2
crowded,4
tlm,1
"w,'r",1
reel,1
bourbon,1
kings,12
"pn.,x,sod",1
site,4
sumer,1
mate,1
succession,4
die,8
empty,6
dignity,7
ind,6
by-law,1
suffered,7
aspirant,1
throne,7
company,14
intentions,2
tlian,1
secretary,5
usual,7
mde,1
belgium,65
northern,21
euro,2
languishing,1
corporation,2
hail,2
cision,1
allowed,16
imperial,11
parlia,1
bhese,1
proportions,2
large,44
existed,2
lapse,1
ment,11
prorogued,1
wat,1
opinion,14
late,23
admiral,6
sii,1
germany:france,26
uj*qi,1
gp\crament,1
erudite,1
ceh,1
england,70
sequence,2
heavy,15
losses,7
sustained,1
contingency,1
logic,2
advance,9
rub,2
anff,1
participe,1
trade,28
resulting,1
failure,4
present,45
condition,11
affairs,13
pounore,1
business,18
jntprotection,1
subjects,2
inter,3
ontario,11
firms,2
crippling,1
wring,2
union,8
ranks,4
bet,2
tunese,1
water,29
mer,1
seasons,2
obviated,1
dance,3
loss,6
dod,1
record,14
proceedings,1
kiiro,1
report,11
capture,2
thophinesememorandum,1
sittings,1
illico,1
reaction,2
ordered,7
dose,3
rhu,1
guarded,2
jealously,1
connect,6
khartoum,4
melidi,1
unfounded,2
stated,4
imposed,3
uiim,1
medicine,12
pie,2
ceremony,3
sworn,2
secrecy,1
turkish,7
officers,18
detailed,1
toac,1
anani,1
unjust,1
treaty,23
older,3
countermanded,1
nut,2
olmont,1
consented,2
non-commis,1
invaded,5
anam,1
manifested,3
ened,1
cast,6
glance,2
iui,1
"va,l!v.il",1
traversing,1
tunis,6
governor-general,1
expressed,3
regret,3
liat,1
face,16
madu,1
visage,1
nuid,1
woman,22
mother,19
dared,3
lmd,1
wish,6
annex,3
explained,5
aw.Â»y,1
stao,1
certainly,4
aid,19
xvliat,1
swerved,1
france:italy,22
countries,57
won,9
pleased,3
word,16
cameifrem,1
lips,1
picture,7
saw,27
frost,4
small,24
fig,1
physician,2
fears,4
perfect,8
england:france,49
work,46
gilmour,1
bros,1
ehan,1
"b,,y",1
thc,13
lcast,1
wmter,1
passing,8
pass,8
corner,2
statesman,2
arrivei,1
music,3
took,34
study,9
tragedy,4
touched,1
heart,12
net,5
little,52
journals,1
week,54
gave,21
piquant,1
degradation,1
ins,11
ances,1
looking,6
away,20
xvsr,1
trees,8
duke,10
true,8
comes,21
river,13
murmur,2
stream,1
lover,1
impatiently,1
"duke,a",1
chateau,3
south,42
whicn,1
hoisted,1
tno,1
cen,1
lost,20
pride,3
coldness,1
difficulty,8
world,63
tie,10
father,27
mothei,1
friend,13
minor,4
vastaccum-suppose,1
vnd,1
ulation,1
money,23
waa,7
"handsome,with",1
innate,1
instinct,2
remember,12
certain,36
dark,17
patrician,1
beauty,7
eyes,14
sho,2
livin,1
stood,5
clear,15
vivid,6
blue,8
hair,7
fore,6
recoj,1
prize,2
brown,9
healthy,3
colour,2
strange,8
ither,1
forms,7
moustache,3
quite,15
hide,3
linking,1
beautiful,7
mouth,7
tall,4
wondering,2
soldierly,2
bearing,7
dike,1
broad,4
shoulders,2
bread,7
chest,4
bad,14
rumour,1
means,20
curing,1
national,35
blindness,1
keeps,4
circumstances,2
allow,4
permitted,4
door,6
empire,17
stand,13
ajar,1
welcome,5
characterized,2
gush,1
unpleasantness,1
possibiliy,1
first-class,2
future,21
stimulated,2
celestial,1
mind,15
proper,5
appreciation,5
modem,4
inventions,2
sudden,7
demand,6
telo-graj,1
poles,2
quick,7
omv,1
munication,1
distances,1
rapidly,8
supplied,8
tick,1
electric,17
wire,6
heard,10
walls,2
pekin,3
important,20
fact,36
significance,2
exhausted,1
finally,12
settled,8
telegraph,2
wires,2
mere,3
mean,5
neighbourhmxl,1
remote,1
provinces,5
possibly,12
cable,3
despatch,8
received,30
friday,6
announced,3
death,32
cannes,4
highness,1
leopold,1
youngest,2
start,11
darmstadt,1
attend,8
marriage,8
niece,1
hesse,1
tlaugh,1
sister,8
ruwn,1
jewels,6
hospitals,7
austria,25
re-opened,1
office,23
rear,5
committee,5
sur,2
hand,37
upper,4
celt,1
floe,1
ti'ofqu,1
udetu,1
ativÃ¯ncÃ¯,1
kor,1
geons,1
appointed,4
full,23
practice,10
carried,19
discovered,5
rong,1
support,8
various,17
unexploded,1
truck,2
europe,38
holland,10
atone,2
projectile,1
immediately,12
italy,46
portugal,10
take,32
plotted,1
mutilating,1
child,11
imirl,1
orttcally,1
british,68
exhibitor,1
manner,11
died,16
removed,12
au.ptces,1
numerousmfluen,1
france:russia,6
story,14
outrage,2
oil,14
jew,3
order,29
brother's,2
wedding,6
ignorant,1
french,191
unable,5
understand,7
ticket,4
station,9
neighborhood,1
varia,1
railroad,2
employe,1
caused,7
imprisoned,2
filthy,1
cellar,2
remained,11
days,36
food,27
rope,3
