"","words","term.freq","doc.freq"
"1","italy:france",0,0
"2","lienn",1,1
"3","government",75,1
"4","revolution",8,1
"5","bloodshed",2,1
"6","years",136,1
"7","devoted",4,1
"8","hutsclf",1,1
"9","literary",3,1
"10","pursuits",1,1
"11","writing",8,1
"12","deal",19,1
"13","review",4,1
"14","sand",4,1
"15","pajs'm",1,1
"16","engaging",3,1
"17","in'coiitrevcrsics",1,1
"18","having",28,1
"19","assertion",3,1
"20","distinguished",7,1
"21","mail",4,1
"22","olio",1,1
"23","believes",3,1
"24","oiir",1,1
"25","s)lltieal",1,1
"26","annexation",1,1
"27","plenty",6,1
"28","instances",5,1
"29","state",22,1
"30","changing",3,1
"31","allegi.uicc",1,1
"32","given",35,1
"33","proved",10,1
"34","contrary",1,1
"35","scarcely",6,1
"36","believe",12,1
"37","alaska",2,1
"38","uninhabited",1,1
"39","country",74,1
"40","sold",9,1
"41","russia",38,1
"42","states",69,1
"43","instance",10,1
"44","cyprus",3,1
"45","transferred",2,1
"46","jreat",1,1
"47","britain",122,1
"48","day",60,1
"49","nice",6,1
"50","savoy",3,1
"51","traus",1,1
"52","felled",1,1
"53","arrangement",3,1
"54","franco",5,1
"55","audltaly",1,1
"56","alsace",7,1
"57","result",21,1
"58","war",181,1
"59","lîenunny",1,1
"60","transvaal",1,1
"61","annexed",2,1
"62","rent",4,1
"63","succeed",6,1
"64","getting",8,1
"65","independence",6,1
"66","question",21,1
"67","won't",3,1
"68","interfere",1,1
"69","prevent",12,1
"70","interfering",2,1
"71","canadian",79,1
"72","unanimous",2,1
"73","preferring",1,1
"74","monarchy",2,1
"75","favor",9,1
"76","republic",16,1
"77","lie",42,1
"78","hut",16,1
"79","quietly",1,1
"80","side",27,1
"81","lines",19,1
"82","light",14,1
"83","risk",5,1
"84","life",46,1
"85","property",2,1
"86","firm",4,1
"87","conviction",5,1
"88","case",20,1
"89","history",18,1
"90","change",11,1
"91","political",21,1
"92","institutions",5,1
"93","effected",6,1
"94","france:france",33,1
"95","statistics",10,1
"96","lately",5,1
"97","published",10,1
"98","jvunud",1,1
"99","official",13,1
"100","concenung",1,1
"101","number",39,1
"102","foreigners",12,1
"103","interesting",15,1
"104","census",4,1
"105","taken",43,1
"106","population",23,1
"107","amounted",4,1
"108","souls",2,1
"109","compared",10,1
"110","count",7,1
"111","shows",15,1
"112","increase",14,1
"113","total",22,1
"114","cent",34,1
"115","sonie",1,1
"116","departments",5,1
"117","tlw",1,1
"118","proportion",9,1
"119","huger",1,1
"120","inhabitant",3,1
"121","tecs",1,1
"122","indicate",3,1
"123","thntcim",1,1
"124","afghanistan",2,1
"125","friends",18,1
"126","wanted",12,1
"127","ndians",1,1
"128","arc",18,1
"129","strongly",1,1
"130","imbued",1,1
"131","pro",15,1
"132","lord",22,1
"133","llvncoiihiield",1,1
"134","abandon",1,1
"135","correspondent",11,1
"136","egypt",20,1
"137","twtivv",1,1
"138","idea",15,1
"139","elections",3,1
"140","dear",7,1
"141","unit",2,1
"142","subsidy",2,1
"143","mercantile",1,1
"144","american",31,1
"145","vtv'/wbr",1,1
"146","whui",1,1
"147","issue",6,1
"148","pointer",1,1
"149","uml",2,1
"150","menace",6,1
"151","says",42,1
"152","looked",17,1
"153","cafe",2,1
"154","crowded",4,1
"155","tlm",1,1
"156","w,'r",1,1
"157","reel",1,1
"158","bourbon",1,1
"159","kings",12,1
"160","pn.,x,sod",1,1
"161","site",4,1
"162","sumer",1,1
"163","mate",1,1
"164","succession",4,1
"165","die",8,1
"166","empty",6,1
"167","dignity",7,1
"168","ind",6,1
"169","by-law",1,1
"170","suffered",7,1
"171","aspirant",1,1
"172","throne",7,1
"173","company",14,1
"174","intentions",2,1
"175","tlian",1,1
"176","secretary",5,1
"177","usual",7,1
"178","mde",1,1
"179","belgium",65,1
"180","northern",21,1
"181","euro",2,1
"182","languishing",1,1
"183","corporation",2,1
"184","hail",2,1
"185","cision",1,1
"186","allowed",16,1
"187","imperial",11,1
"188","parlia",1,1
"189","bhese",1,1
"190","proportions",2,1
"191","large",44,1
"192","existed",2,1
"193","lapse",1,1
"194","ment",11,1
"195","prorogued",1,1
"196","wat",1,1
"197","opinion",14,1
"198","late",23,1
"199","admiral",6,1
"200","sii",1,1
"201","germany:france",26,1
"202","uj*qi",1,1
"203","gp\crament",1,1
"204","erudite",1,1
"205","ceh",1,1
"206","england",70,1
"207","sequence",2,1
"208","heavy",15,1
"209","losses",7,1
"210","sustained",1,1
"211","contingency",1,1
"212","logic",2,1
"213","advance",9,1
"214","rub",2,1
"215","anff",1,1
"216","participe",1,1
"217","trade",28,1
"218","resulting",1,1
"219","failure",4,1
"220","present",45,1
"221","condition",11,1
"222","affairs",13,1
"223","pounore",1,1
"224","business",18,1
"225","jntprotection",1,1
"226","subjects",2,1
"227","inter",3,1
"228","ontario",11,1
"229","firms",2,1
"230","crippling",1,1
"231","wring",2,1
"232","union",8,1
"233","ranks",4,1
"234","bet",2,1
"235","tunese",1,1
"236","water",29,1
"237","mer",1,1
"238","seasons",2,1
"239","obviated",1,1
"240","dance",3,1
"241","loss",6,1
"242","dod",1,1
"243","record",14,1
"244","proceedings",1,1
"245","kiiro",1,1
"246","report",11,1
"247","capture",2,1
"248","thophinesememorandum",1,1
"249","sittings",1,1
"250","illico",1,1
"251","reaction",2,1
"252","ordered",7,1
"253","dose",3,1
"254","rhu",1,1
"255","guarded",2,1
"256","jealously",1,1
"257","connect",6,1
"258","khartoum",4,1
"259","melidi",1,1
"260","unfounded",2,1
"261","stated",4,1
"262","imposed",3,1
"263","uiim",1,1
"264","medicine",12,1
"265","pie",2,1
"266","ceremony",3,1
"267","sworn",2,1
"268","secrecy",1,1
"269","turkish",7,1
"270","officers",18,1
"271","detailed",1,1
"272","toac",1,1
"273","anani",1,1
"274","unjust",1,1
"275","treaty",23,1
"276","older",3,1
"277","countermanded",1,1
"278","nut",2,1
