"","words","term.freq","doc.freq"
"1","germany:france",0,0
"2","uj*qi",1,1
"3","gp\crament",1,1
"4","erudite",1,1
"5","ceh",1,1
"6","england",55,1
"7","sequence",2,1
"8","heavy",9,1
"9","losses",4,1
"10","sustained",2,1
"11","contingency",1,1
"12","logic",2,1
"13","advance",10,1
"14","rub",2,1
"15","anff",1,1
"16","participe",1,1
"17","trade",29,1
"18","resulting",2,1
"19","late",12,1
"20","failure",3,1
"21","present",36,1
"22","condition",9,1
"23","affairs",6,1
"24","pro",12,1
"25","pounore",1,1
"26","business",11,1
"27","jntprotection",1,1
"28","subjects",3,1
"29","inter",5,1
"30","ontario",8,1
"31","firms",4,1
"32","crippling",3,1
"33","germany",1036,1
"34","pastor",1,1
"35","rev",2,1
"36","aston",1,1
"37","bululle",1,1
"38","endo",1,1
"39","shooting",1,1
"40","remain",7,1
"41","vicinity",4,1
"42","thecw",1,1
"43","wers",1,1
"44","killed",7,1
"45","university",8,1
"46","kingston",2,1
"47","burning",2,1
"48","group",5,1
"49","ehe",2,1
"50","spoke",5,1
"51","cabled",1,1
"52","island",10,1
"53","rumor",2,1
"54","study",6,1
"55","large",36,1
"56","hospitals",4,1
"57","austria",48,1
"58","britain",101,1
"59","re-opened",1,1
"60","office",13,1
"61","rear",3,1
"62","reckoned",2,1
"63","limits",1,1
"64","temporal",1,1
"65","possessions",8,1
"66","iti",1,1
"67","hng",1,1
"68","easy",5,1
"69","trot",1,1
"70","annum",3,1
"71","spent",10,1
"72","eating",3,1
"73","p-ofit",1,1
"74","aod",2,1
"75","reader",1,1
"76","atakkt",1,1
"77","creditors",1,1
"78","duke",1,1
"79","bolton",1,1
"80","gcribed",1,1
"81","follows",7,1
"82","possesses",1,1
"83","fsce",1,1
"84","tempfce",1,1
"85","translate",2,1
"86","couldn",2,1
"87","regraves",1,1
"88","unclaimed",1,1
"89","hair",11,1
"90","luminous",2,1
"91","eyes",11,1
"92","influential",2,1
"93","theolog",1,1
"94","ans",1,1
"95","trisl",1,1
"96","days",33,1
"97","oarg",1,1
"98","day",52,1
"99","easily",8,1
"100","startled",1,1
"101","world",64,1
"102","strove",1,1
"103","merest",2,1
"104","heraelf",1,1
"105","dresses",2,1
"106","safe",5,1
"107","hap",2,1
"108","mbeant",1,1
"109","observe",1,1
"110","difteronce",1,1
"111","i.ltho",1,1
"112","lord",13,1
"113","heathurbloom",1,1
"114","alw.'v",1,1
"115","excellent",9,1
"116","fritnde-wb",1,1
"117","door",6,1
"118","mn.l",1,1
"119","keep",14,1
"120","month",16,1
"121","r-wmed",1,1
"122","fur",17,1
"123","rnwn",1,1
"124","pnilfveu",1,1
"125","affected",5,1
"126","general",27,1
"127","situation",28,1
"128","eing",1,1
"129","reinforced",4,1
"130","col",3,1
"131","irvine",1,1
"132","oidets",1,1
"133","sent",24,1
"134","portsmouth",1,1
"135","mounted",2,1
"136","i*dice",1,1
"137","despatch",5,1
"138","vessel",5,1
"139","mercury",1,1
"140","lead",6,1
"141","france:germany",33,1
"142","ireland",12,1
"143","scotland",10,1
"144","sweden",16,1
"145","norway",20,1
"146","near-sightedness",1,1
"147","unknown",3,1
"148","savage",3,1
"149","tribes",2,1
"150","tnan",1,1
"151","half",23,1
"152","children",11,1
"153","sutler",1,1
"154","defective",1,1
"155","vision",1,1
"156","schools",9,1
"157","fourths",2,1
"158","cent",37,1
"159","boys",6,1
"160","fnrty",1,1
"161","girls",5,1
"162","buffering",1,1
"163","curva",1,1
"164","ure",3,1
"165","spine",1,1
