text,term.freq
japan,0
tea,103
soap,6
trees,5
slml'ar,1
growing,6
chime,1
conrul,1
x)oj,1
f(e,1
prolific,2
bearers,1
"dsr,lee",1
marble,4
wvf,1
bentk,1
substitute,2
thÃ¢y,1
aie,2
taken,15
r:a,1
rid,1
igwmver,1
usually,5
boiled,1
dad,1
east,39
bare,1
nude,1
grow,7
northern,6
little,24
acclimatization,1
prie,1
tor,8
readily,2
assented,1
days,20
par,1
mill,4
started,7
afterward,1
husband,7
passing,4
shop,1
appliances,1
european,21
american,28
called,19
saw,7
shawl,2
utile,1
machinery,2
tnat,2
consented,1
give,24
Ã¢re,1
jozen,1
operation,1
country,43
walking,2
street,3
hie,5
wife,7
nyerft,1
making,17
dividends,1
observed,2
identical,1
credit,3
shoulders,2
woman,10
ehe,1
wgg,1
year's,54
advance,9
suspected,1
entertained,1
united,60
statis,1
paper,12
neighborly,1
regard,6
wood,9
fiber,1
n-igiuiaki,1
ibunta,1
poind,1
tie,6
vehtli,1
priign,1
smxi,1
age,7
natch,1
arpourmiirr,1
pembroke,1
observer,1
says,21
odium,3
principal,6
high,16
school,11
appointed,6
methodist,1
college,4
tokia,1
painstaking,3
hard-working,2
leather,3
active,6
religious,2
work,19
doubt,9
worthy,4
far-away,1
deretand,1
leave,3
field,5
labor,6
congratulate,1
appointment,1
position,21
importance,7
trust,3
subscriber,1
wrong,2
brother,6
daughter,1
snow,2
drift,1
linking,1
powder,2
hrunttord,1
ont,4
jtipanephew,1
pound,7
ounces,2
tel,1
kept,5
watch,2
deck,1
fearing,1
ttint,1
ma*t,1
bntpbur,1
sviÂ»r,1
delightful,1
england:japan,8
developed,4
utmost,1
tire,1
fortnightly,1
departure,1
firefrelaee,1
weekly,2
service,15
commerce,6
follow,6
flsg,1
girdle,3
round,5
alternative,1
can-itdian,1
route,6
australasia,1
established,5
interests,8
empire,22
safer,1
present,22
dependent,1
distant,5
possession,2
anon,1
merely,5
easily,4
breakable,1
communication,1
harrowby,1
interrogate,1
government,36
reference,2
proposals,2
canadiar,1
pacific,37
railway,6
regarding,3
mall,1
vancouver,7
gen,5
count,2
kinoda,1
chief,4
