"","words","term.freq","doc.freq"
"1","japan",0,0
"2","tea",103,1
"3","soap",6,1
"4","trees",5,1
"5","slml'ar",1,1
"6","growing",6,1
"7","chime",1,1
"8","conrul",1,1
"9","x)oj",1,1
"10","f(e",1,1
"11","prolific",2,1
"12","bearers",1,1
"13","dsr,lee",1,1
"14","marble",4,1
"15","wvf",1,1
"16","bentk",1,1
"17","substitute",2,1
"18","thây",1,1
"19","aie",2,1
"20","taken",15,1
"21","r:a",1,1
"22","rid",1,1
"23","igwmver",1,1
"24","usually",5,1
"25","boiled",1,1
"26","dad",1,1
"27","east",39,1
"28","bare",1,1
"29","nude",1,1
"30","grow",7,1
"31","northern",6,1
"32","little",24,1
"33","acclimatization",1,1
"34","prie",1,1
"35","tor",8,1
"36","readily",2,1
"37","assented",1,1
"38","days",20,1
"39","par",1,1
"40","mill",4,1
"41","started",7,1
"42","afterward",1,1
"43","husband",7,1
"44","passing",4,1
"45","shop",1,1
"46","appliances",1,1
"47","european",21,1
"48","american",28,1
"49","called",19,1
"50","saw",7,1
"51","shawl",2,1
"52","utile",1,1
"53","machinery",2,1
"54","tnat",2,1
"55","consented",1,1
"56","give",24,1
"57","âre",1,1
"58","jozen",1,1
"59","operation",1,1
"60","country",43,1
"61","walking",2,1
"62","street",3,1
"63","hie",5,1
"64","wife",7,1
"65","nyerft",1,1
"66","making",17,1
"67","dividends",1,1
"68","observed",2,1
"69","identical",1,1
"70","credit",3,1
"71","shoulders",2,1
"72","woman",10,1
"73","ehe",1,1
"74","wgg",1,1
"75","years",54,1
"76","advance",9,1
"77","suspected",1,1
"78","entertained",1,1
"79","united",60,1
"80","statis",1,1
"81","paper",12,1
"82","neighborly",1,1
"83","regard",6,1
"84","wood",9,1
"85","fiber",1,1
"86","n-igiuiaki",1,1
"87","ibunta",1,1
"88","poind",1,1
"89","tie",6,1
"90","vehtli",1,1
"91","priign",1,1
"92","smxi",1,1
"93","age",7,1
"94","natch",1,1
"95","arpourmiirr",1,1
"96","pembroke",1,1
"97","observer",1,1
"98","says",21,1
"99","odium",3,1
"100","principal",6,1
"101","high",16,1
"102","school",11,1
"103","appointed",6,1
"104","methodist",1,1
"105","college",4,1
"106","tokia",1,1
"107","painstaking",3,1
"108","hard-working",2,1
"109","leather",3,1
"110","active",6,1
"111","religious",2,1
"112","work",19,1
