text,term.freq
local,12
manchuria,8
canadian,7
canada:korea,7
years,6
send,6
relatives,6
brigade,6
supply,6
equity,6
times,5
japan,5
war,5
taken,5
address,5
friends,5
boys,5
complimentary,5
paper,5
week,5
keeping,5
abreast,5
korea:japan,4
large,4
returned,4
russia,4
place,4
join,4
japanese,3
history,3
country,3
ing,3
began,3
woman,3
ships,3
unborn,3
east,3
start,3
influence,3
show,3
hie,3
army,3
dead,3
day,3
pretty,3
take,3
species,3
british,3
soviet,3
west,3
brother,3
happenings,3
scrofulous,2
ere,2
dozen,2
military,2
end,2
period,2
heroic,2
qualities,2
work,2
shore,2
empress,2
babe,2
expedition,2
korean,2
god,2
produced,2
mother,2
came,2
mainly,2
cut,2
count,2
little,2
food,2
animals,2
thanks,2
distance,2
twelve,2
korea:usa,2
ago,2
wear,2
easy,2
started,2
type,2
business,2
says,2
largest,2
feel,2
properly,2
russia:korea,2
forces,2
korea:korea,2
fair,2
want,2
england,2
ability,2
siberia,2
second,2
located,2
ginseng,2
widely,2
hut,2
considered,2
quality,2
generally,2
prices,2
range,2
reported,2
africa,2
brought,2
interest,2
present,2
city,2
indies,2
services,2
united,2
afternoon,2
service,2
agreed,2
couple,2
half,2
eastern,2
developing,2
camp,2
prisoners,2
following,2
letter,2
advance,2
shawville,2
return,2
guess,2
department,2
engaged,2
away,2
coast,2
canada,2
woermke,2
serving,2
write,2
thank,2
saturday,2
kindly,2
rotary,2
carnival,2
task,2
bristol,2
costumes,2
soldiers,2
smith,2
regiments,2
died,2
aud,1
diseases,1
erysipelas,1
eczema,1
blotchee,1
mngwonn,1
tu-carbundee,1
boll,1
eruptions,1
itè,1
rent,1
cure,1
posses,1
knowledge,1
anatomy,1
thw,1
acoount,1
articles,1
teen,1
recover,1
physiology,1
gamed,1
litt,1
sdoni,1
rnd,1
ucious,1
pur,1
aome,1
nay,1
ini,1
euch,1
legal,1
discipline,1
tor,1
wh.vl,1
i'lltake,1
ample,1
friead,1
eoq,1
erred,1
whkeet,1
middle,1
legendary,1
comes,1
view,1
figure,1
excelled,1
annals,1
nation,1
jingu,1
kogo,1
conqueror,1
nini,1
female,1
rulers,1
national,1
recruiting,1
ship-build,1
impatient,1
unnecessarily,1
slow,1
ready,1
brave,1
array,1
set,1
unknown,1
feeling,1
inspiration,1
voyage,1
conquest,1
followed,1
suite,1
met,1
offered,1
allegiance,1
mysterious,1
coming,1
laden,1
vast,1
wealth,1
spoil,1
battle,1
ceful,1
tribute,1
bloodless,1
victory,1
rom,1
forward,1
direct,1
contact,1
receive,1
assimilate,1
civilization,1
"arts,and",1
religions,1
received,1
progress,1
"day,for",1
sequsl,1
jin-gukogo,1
introduction,1
regard,1
peculiar,1
civilized,1
countries,1
characteristic,1
belittling,1
exalting,1
"man,the",1
martial,1
career,1
ascribed,1
valoi,1
prowess,1
secured,1
deified,1
