"","words","term.freq","doc.freq"
"1","cure",0,0
"2","dises»vs",1,1
"3","blood",7,1
"4","purlfled",1,1
"5","nml",1,1
"6","osions",1,1
"7","healthy",1,1
"8","sud",1,1
"9","mi-tural",1,1
"10","condition",6,1
"11","usa",58,1
"12","lias",1,1
"13","fnr",1,1
"14","ovrr",1,1
"15","vphis",1,1
"16","recogtiuvd",1,1
"17","pinl-vient",1,1
"18","medical",6,1
"19","authorities",3,1
"20","powerful",4,1
"21","purifier",1,1
"22","existence",4,1
"23","frees",1,1
"24","system",6,1
"25","foul",1,1
"26","humors",1,1
"27","enriches",1,1
"28","strengthens",1,1
"29","removes",1,1
"30","traces",1,1
"31","mercurial",1,1
"32","treatment",4,1
"33","proves",1,1
"34","complete",3,1
"35","master",1,1
"36","scrofulous",1,1
"37","diseases",4,1
"38","england:usa",18,1
"39","scholar",2,1
"40","spell",1,1
"41","sailed",1,1
"42","wrest",1,1
"43","letters",8,1
"44","recite",1,1
"45","money",14,1
"46","cable",8,1
"47","british",33,1
"48","in-q",1,1
"49","consider",4,1
"50","punish",1,1
"51","vestors",1,1
"52","monk",1,1
"53","old",26,1
"54","preached",1,1
"55","ment",3,1
"56","truancy",1,1
"57","stand",8,1
"58","crde",2,1
"59","greater",7,1
"60","vehemence",1,1
"61","floor",3,1
"62","foot",4,1
"63","wonderfully",1,1
"64","short",5,1
"65","deti-utes",1,1
"66","anco",1,1
"67","innumerable",2,1
"68","difficulties",2,1
"69","backers",1,1
"70","gazette",1,1
"71","fired",3,1
"72","shot",3,1
"73","direction",5,1
"74","deceased",1,1
"75","shepherd-flatv",1,1
"76","placed",6,1
"77","wit",1,1
"78","extensive",3,1
"79","usa:canada",54,1
"80","thond",87,1
"81","killed",5,1
"82","wounded",6,1
"83","special",5,1
"84","correspondent",2,1
"85","london",8,1
"86","post",3,1
"87","secretary",2,1
"88","lord",4,1
"89","dtafferin",1,1
"90","governor-general",1,1
"91","witnessed",2,1
"92","battles",1,1
"93","tel-el-kebir",1,1
"94","tob",2,1
"95","tamai",1,1
"96","severely",1,1
"97","named",3,1
"98","news",4,1
"99","says",7,1
"100","general",7,1
"101","hoping",1,1
"102","surprise",1,1
"103","enemy,left",1,1
"104","abou",1,1
"105","klea",1,1
"106","wells",1,1
"107","saturday",2,1
"108","afternoon",2,1
"109","marched",1,1
"110","entire",4,1
"111","night",10,1
"112","sighting",1,1
"113","river",7,1
"114","daybreak",1,1
"115","usa:united",16,1
"116","states",44,1
"117","hundreds",23,1
"118","thonds",113,1
"119","professional",3,1
"120","begums",1,1
"121","chinese",7,1
"122","beggar",3,1
"123","asserted",2,1
"124","yetbren",1,1
"125","ivtu",1,1
"126","pacific",7,1
"127","coast",9,1
"128","united",34,1
"129","speaking",2,1
"130","seeps",1,1
"131","snro",1,1
"132","solu-panama",1,1
"133","scheme",3,1
"134","inflict",1,1
"135","injury",2,1
"136","tion",4,1
"137","epaoru",1,1
"138","salts",1,1
"139","water",8,1
"140","oul",1,1
"141","nttural",1,1
"142","reservoirs",2,1
"143","deep",2,1
"144","lect",1,1
"145","damages",2,1
"146","courte",1,1
"147","narrow",2,1
"148","gorges",1,1
"149","shine",1,1
"150","daughter",4,1
"151","washington",4,1
"152","live",12,1
"153","springe",1,1
"154","saw",5,1
"155","confidently",1,1
"156","half",10,1
"157","dtzan",1,1
"158","president",6,1
"159","suez",2,1
"160","canal",5,1
"161","travel",4,1
"162","beggars",1,1
"163","sast",1,1
"164","tin",8,1
"165","onday-school",1,1
"166","teacù",1,1
"167","purpose",3,1
"168","god",2,1
"169","qlve",1,1
"170","different",6,1
"171","beueee",1,1
"172","vun",1,1
"173","mown",1,1
"174","tried",3,1
"175","thrust",1,1
"176","xnake",1,1
"177","nay",1,1
"178","defined",1,1
"179","edge",3,1
"180","europe",13,1
"181","bien",1,1
"182","concocting",1,1
"183","canada",70,1
"184","usa:spain",1,1
"185","conquerors",1,1
"186","veil",1,1
"187","armies",2,1
"188","bet",2,1
"189","tune",1,1
"190","dear",1,1
"191","rej",1,1
"192","father",2,1
"193","disorganized",1,1
"194","present",11,1
"195","rogue",1,1
"196","harvest",2,1
"197","egyptian",2,1
"198","rogues",1,1
"199","bloodthirsty",1,1
"200","dishonest",1,1
"201","religious",2,1
"202","enti",1,1
"203","lasts",1,1
"204","grasp",1,1
"205","havj",2,1
"206","city",15,1
"207","meritor",1,1
"208","threo",1,1
"209","troopi",1,1
"210","wherewith",1,1
"211","hold",4,1
"212","uous",1,1
"213","blot",1,1
"214","tost,r",1,1
"215","bundl",1,1
"216","excitable",1,1
